language,n,accuracy,mean_conf,ece,brier,overconfidence,auroc,auarc,experiment,model,dataset,n_shots
kin,500,0.286,0.4377795487642288,0.15214691531658173,0.2389717963578705,0.15177954876422883,0.5239074650839357,0.3130409918927839,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
lin,500,0.304,0.4837769127488136,0.17977691274881363,0.2620263566346732,0.17977691274881363,0.5485859044162129,0.3387748772000089,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
lug,500,0.34,0.43474641543626785,0.09712595611810684,0.24393735807201666,0.09474641543626783,0.5559180035650624,0.3818305394758936,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
orm,500,0.3,0.42817705011367796,0.12837825560569766,0.2363243271159671,0.12817705011367797,0.5532761904761905,0.32771108334463656,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
sna,500,0.318,0.4568011959195137,0.1413672897219658,0.2558501962627659,0.13880119591951368,0.5423006695069994,0.33359644329201066,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
sot,500,0.3,0.4764872495532036,0.18114664655923843,0.27391889998920965,0.1764872495532036,0.4879047619047619,0.29516351311248923,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
swa,500,0.312,0.4510014701485634,0.1390014701485634,0.25704041985476517,0.1390014701485634,0.5214482707215266,0.3143795991829431,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
twi,500,0.294,0.4551577378511429,0.16465489065647126,0.25880583835595833,0.1611577378511429,0.5129309514173942,0.2924595379603668,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
wol,500,0.268,0.4504614607691765,0.18246146076917646,0.2446697936996096,0.18246146076917646,0.5415137427616018,0.29265481435946694,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
xho,500,0.28,0.4569234257340431,0.17763317316770552,0.2538400269763491,0.17692342573404307,0.5210317460317461,0.28414014063320747,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
yor,500,0.308,0.4335830491185188,0.12558304911851884,0.2388282724127386,0.1255830491185188,0.5761579461001426,0.34905167281620764,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
zul,500,0.286,0.4489719007611275,0.16660262399911877,0.25230145862584435,0.1629719007611275,0.509039979628215,0.2994140234960764,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
amh,797,0.3726474278544542,0.3972753440421378,0.04179612957548765,0.23243941775835647,0.02462791618768362,0.5870639730639731,0.4295776787400924,qwen3_4b_instruct_uhura_truthfulqa,qwen3_4b_instruct,uhura_truthfulqa,0
eng,809,0.380716934487021,0.44430572417080033,0.071511247175733,0.24360060994364602,0.06358878968377935,0.5919848614459393,0.43658033628231696,qwen3_4b_instruct_uhura_truthfulqa,qwen3_4b_instruct,uhura_truthfulqa,0
hau,808,0.30816831683168316,0.5067663884694034,0.19859807163772022,0.2725992217704851,0.1985980716377202,0.5304150412023766,0.32430599755996314,qwen3_4b_instruct_uhura_truthfulqa,qwen3_4b_instruct,uhura_truthfulqa,0
nso,808,0.2698019801980198,0.5318463338483678,0.26204435365034806,0.2933185583456618,0.26204435365034795,0.5354765977297465,0.27487645139237454,qwen3_4b_instruct_uhura_truthfulqa,qwen3_4b_instruct,uhura_truthfulqa,0
swa,807,0.3345724907063197,0.4903858340214915,0.1569837019346017,0.25598245306454204,0.15581334331517177,0.5715497620525553,0.3684660638915276,qwen3_4b_instruct_uhura_truthfulqa,qwen3_4b_instruct,uhura_truthfulqa,0
yor,809,0.31025957972805934,0.46060009796186197,0.15034051823380262,0.2543262398827294,0.15034051823380262,0.5674934669922461,0.32507731646501714,qwen3_4b_instruct_uhura_truthfulqa,qwen3_4b_instruct,uhura_truthfulqa,0
zul,778,0.32390745501285345,0.5274684100883479,0.2035609550754944,0.27627313569775136,0.20356095507549443,0.5690219687367977,0.35186853434494825,qwen3_4b_instruct_uhura_truthfulqa,qwen3_4b_instruct,uhura_truthfulqa,0
amh,792,0.3939393939393939,0.405522783522052,0.058662139105074326,0.23513182576287597,0.011583389582658088,0.5977230235042735,0.4611233383880668,qwen3_4b_instruct_uhura_truthfulqa_5shot,qwen3_4b_instruct,uhura_truthfulqa,5
eng,804,0.44154228855721395,0.4902456877799473,0.07621611719626695,0.24843913837949688,0.04870339922273337,0.6095423319426582,0.5167463330606219,qwen3_4b_instruct_uhura_truthfulqa_5shot,qwen3_4b_instruct,uhura_truthfulqa,5
hau,803,0.32254047322540474,0.5151277884822408,0.194281964529199,0.2721476548145634,0.1925873152568361,0.5554238587326823,0.353582914900766,qwen3_4b_instruct_uhura_truthfulqa_5shot,qwen3_4b_instruct,uhura_truthfulqa,5
nso,803,0.30510585305105853,0.5082087017976183,0.20428939113581313,0.2663227525813028,0.20310284874655982,0.5748884500036574,0.33271529510605946,qwen3_4b_instruct_uhura_truthfulqa_5shot,qwen3_4b_instruct,uhura_truthfulqa,5
swa,802,0.3491271820448878,0.5012420162447075,0.1538378317605825,0.25613717189946894,0.15211483419981975,0.594376026272578,0.39479716321307423,qwen3_4b_instruct_uhura_truthfulqa_5shot,qwen3_4b_instruct,uhura_truthfulqa,5
yor,804,0.35572139303482586,0.4641848690993157,0.11144384271025065,0.2592543936057434,0.10846347606448986,0.5572265572265572,0.3681530862125166,qwen3_4b_instruct_uhura_truthfulqa_5shot,qwen3_4b_instruct,uhura_truthfulqa,5
zul,773,0.3169469598965071,0.506924519563554,0.19122418526073323,0.2684669652263661,0.18997755966704688,0.5535173160173161,0.33692133664635326,qwen3_4b_instruct_uhura_truthfulqa_5shot,qwen3_4b_instruct,uhura_truthfulqa,5
